Title;Views;views_numeric;Date;Duration;hours;minutes;seconds;hours;minutes;seconds
UZH @ «Zurich meets New York»: Talk with Prof. Fehr, Economics, and Prof. Pfeifer, Robotics ;880;880;10 years;1 hour, 39 minutes;1 hour;39 minutes;0;1;39;0
Wenn die Lebensgrundlage verschwindet | Then we disappear ;876;876;5 years;8 minutes, 21 seconds;0;8 minutes;21 seconds;0;8;21
Einweihung 5. Bauetappe, Neubau Laborgebäude Campus Irchel ;875;875;3 years;40 minutes;0;40 minutes;0;0;40;0
Lehre an der UZH: Fachmann/-frau Information und Dokumentation ;870;870;2 years;3 minutes, 45 seconds;0;3 minutes;45 seconds;0;3;45
UZH Lehrpreis 2020: Carina Klein ;864;864;4 years;3 minutes, 50 seconds;0;3 minutes;50 seconds;0;3;50
Frogs Use Brains or Camouflage to Evade Predators | UZH Spotlight ;860;860;2 years;44 seconds;0;FALSE;0;0;0;44
Talk im Turm: Gesund sterben. Was uns die Medizin von morgen bringt. ;850;850;11 years;1 hour, 9 minutes;1 hour;9 minutes;0;1;9;0
UZH International Summer Schools 2020 - Testimonials ;848;848;4 years;1 minute, 32 seconds;0;1 minute;32 seconds;0;1;32
Leopold Ruzicka - Nobel Prize in Chemistry 1939 ;844;844;4 years;3 minutes, 57 seconds;0;3 minutes;57 seconds;0;3;57
Conferenza stampa «Abusi sessuali nell’ambiente della Chiesa cattolica in Svizzera» ;842;842;1 year;2 hours, 3 minutes;2 hours;3 minutes;0;2;3;0
Lateinamerika neu entdecken ;832;832;10 years;5 minutes, 16 seconds;0;5 minutes;16 seconds;0;5;16
Artificial Intelligence ;830;830;5 years;3 minutes, 48 seconds;0;3 minutes;48 seconds;0;3;48
Talk im Turm: Wie Innovation entsteht ;812;812;6 years;1 hour, 15 minutes;1 hour;15 minutes;0;1;15;0
Dies academicus 2014: «Quo vadis UZH» -- Rede von Rektor Michael O. Hengartner ;804;804;10 years;30 minutes;0;30 minutes;0;0;30;0
New Students of 2015: Welcome to UZH ;786;786;9 years;1 minute, 28 seconds;0;1 minute;28 seconds;0;1;28
DIZH - Forschungs- und Innovationsinitiative Zürich ;784;784;5 years;2 minutes, 55 seconds;0;2 minutes;55 seconds;0;2;55
Lehre an der UZH: Tiermedizinische*r Praxisassistent*in ;782;782;10 months;4 minutes, 54 seconds;0;4 minutes;54 seconds;0;4;54
Das digitale Herbarium ;765;765;4 years;3 minutes, 5 seconds;0;3 minutes;5 seconds;0;3;5
Talk im Turm: Humor ;763;763;5 years;1 hour, 13 minutes;1 hour;13 minutes;0;1;13;0
Älteste Alphütte gefunden ;762;762;13 years;4 minutes, 24 seconds;0;4 minutes;24 seconds;0;4;24
Nanomedizin ;748;748;12 years;5 minutes, 18 seconds;0;5 minutes;18 seconds;0;5;18
"This was the ""International Sports Law"" Summer School 2023 at UZH ";744;744;1 year;3 minutes, 32 seconds;0;3 minutes;32 seconds;0;3;32
Talk im Turm: Spieglein an der Wand. Was schön ist. ;738;738;10 years;1 hour, 13 minutes;1 hour;13 minutes;0;1;13;0
Visualisierung Big Data ;734;734;7 years;2 minutes, 30 seconds;0;2 minutes;30 seconds;0;2;30
Schweizer Universalgenie: Gessner-Ausstellung im Zoologischen Museum ;729;729;9 years;1 minute, 31 seconds;0;1 minute;31 seconds;0;1;31
Früherkennung von Corona-Risikopatienten / Predicting patients at high risk for severe Covid-19 ;726;726;4 years;1 minute, 42 seconds;0;1 minute;42 seconds;0;1;42
Talk im Turm: Unter Tag. Ausgegrabene Geschichte. ;725;725;12 years;1 hour, 5 minutes;1 hour;5 minutes;0;1;5;0
Talk im Turm: Wir Egoisten ;722;722;8 years;1 hour, 11 minutes;1 hour;11 minutes;0;1;11;0
Talk im Turm: Wilde Tiere ;711;711;12 years;1 hour, 6 minutes;1 hour;6 minutes;0;1;6;0
Talk im Turm: Das Tier und wir ;709;709;6 years;54 minutes;0;54 minutes;0;0;54;0
Serie «Lieblingsorte im 100-jährigen Hauptgebäude», Teil 4 ;692;692;10 years;3 minutes;0;3 minutes;0;0;3;0
Evolution happens: Bakterien ;691;691;2 years;2 minutes, 45 seconds;0;2 minutes;45 seconds;0;2;45
Wird der Aletschgletscher zu einem See? / Will the Aletsch Glacier turn into a lake? ;691;691;5 years;1 minute, 45 seconds;0;1 minute;45 seconds;0;1;45
Talk im Turm: Gülleloch und schnelle Klicks. Was Daten uns verraten. ;687;687;7 years;1 hour, 17 minutes;1 hour;17 minutes;0;1;17;0
Roboterforschung an der Universität Zürich ;678;678;13 years;4 minutes, 22 seconds;0;4 minutes;22 seconds;0;4;22
Tag der Chemie an der Universität Zürich ;676;676;13 years;4 minutes, 58 seconds;0;4 minutes;58 seconds;0;4;58
Talk im Turm: Revolution der Rechner. Wie Big Data unser Leben verändert ;673;673;9 years;1 hour, 12 minutes;1 hour;12 minutes;0;1;12;0
Energien der Zukunft ;671;671;12 years;4 minutes, 39 seconds;0;4 minutes;39 seconds;0;4;39
